".colorLevels",".ci",".y",".sids",".axisIndex","S100QC..Run",".ri",".colorHash",".xLevels",".nXLevels",".nValuesPerXLevel",".xSeqPerLevels",".xs",".ys",".y0s"
0,6,10.756839515479511,1340,0,"a",62,12774,0,1,1,0,32767,44459,65535
0,7,10.154101597966658,1341,0,"a",62,12774,0,1,1,0,32767,24709,65535
0,6,12.089188119545005,1342,0,"a",63,12774,0,1,1,0,32767,54813,65535
0,7,11.443920918306468,1343,0,"a",63,12774,0,1,1,0,32767,32557,65535
0,8,9.597736354621128,1344,0,"a",56,12774,0,1,1,0,32767,31277,65535
1,9,8.552995273622376,1345,0,"b",56,12905,0,1,1,0,32767,1509,65535
0,8,9.977549944470756,1346,0,"a",57,12774,0,1,1,0,32767,36401,65535
1,9,8.79674368357433,1347,0,"b",57,12905,0,1,1,0,32767,2756,65535
1,10,9.345133223691432,1348,0,"b",56,12905,0,1,1,0,32767,24080,65535
1,11,9.316217481709987,1349,0,"b",56,12905,0,1,1,0,32767,23256,65535
1,10,9.274630886540537,1350,0,"b",57,12905,0,1,1,0,32767,16372,65535
1,11,9.320992081085336,1351,0,"b",57,12905,0,1,1,0,32767,17693,65535
0,8,8.58652117547374,1352,0,"a",58,12774,0,1,1,0,32767,25860,65535
1,9,7.644672578577547,1353,0,"b",58,12905,0,1,1,0,32767,1171,65535
0,8,8.789994938352672,1354,0,"a",59,12774,0,1,1,0,32767,22509,65535
1,9,8.105364981021282,1355,0,"b",59,12905,0,1,1,0,32767,3002,65535
1,10,8.545000872303804,1356,0,"b",58,12905,0,1,1,0,32767,24771,65535
1,11,8.552705342945979,1357,0,"b",58,12905,0,1,1,0,32767,24973,65535
1,10,8.312026705605895,1358,0,"b",59,12905,0,1,1,0,32767,8890,65535
1,11,8.065276404497746,1359,0,"b",59,12905,0,1,1,0,32767,1859,65535
0,12,10.018803789462632,1360,0,"a",56,12774,0,1,1,0,32767,43275,65535
0,13,9.359376626355955,1361,0,"a",56,12774,0,1,1,0,32767,24486,65535
0,12,10.008692876131379,1362,0,"a",57,12774,0,1,1,0,32767,37288,65535
0,13,9.472441789883455,1363,0,"a",57,12774,0,1,1,0,32767,22009,65535
0,14,9.541571528576444,1364,0,"a",56,12774,0,1,1,0,32767,29677,65535
1,15,10.120115587068613,1365,0,"b",56,12905,0,1,1,0,32767,46162,65535
0,14,9.90365451541609,1366,0,"a",57,12774,0,1,1,0,32767,34295,65535
1,15,10.769962560626418,1367,0,"b",57,12905,0,1,1,0,32767,58979,65535
0,12,9.437928691613198,1368,0,"a",58,12774,0,1,1,0,32767,48178,65535
0,13,7.934302850754642,1369,0,"a",58,12774,0,1,1,0,32767,8763,65535
0,12,10.209545324391188,1370,0,"a",59,12774,0,1,1,0,32767,62956,65535
0,13,8.340018021872865,1371,0,"a",59,12774,0,1,1,0,32767,9688,65535
0,14,8.261828820898934,1372,0,"a",58,12774,0,1,1,0,32767,17348,65535
1,15,9.126947928697037,1373,0,"b",58,12905,0,1,1,0,32767,40026,65535
0,14,8.389397971446805,1374,0,"a",59,12774,0,1,1,0,32767,11095,65535
1,15,8.08706248186359,1375,0,"b",59,12905,0,1,1,0,32767,2480,65535
0,8,7.362522820518406,1376,0,"a",60,12774,0,1,1,0,32767,33586,65535
1,9,4.884948042727841,1377,0,"b",60,12905,0,1,1,0,32767,1113,65535
0,8,7.021948972833645,1378,0,"a",61,12774,0,1,1,0,32767,39895,65535
1,9,5.610815928010717,1379,0,"b",61,12905,0,1,1,0,32767,2904,65535
1,10,7.361198943351969,1380,0,"b",60,12905,0,1,1,0,32767,33569,65535
1,11,7.230632260867812,1381,0,"b",60,12905,0,1,1,0,32767,31857,65535
1,10,6.579849577327503,1382,0,"b",61,12905,0,1,1,0,32767,28306,65535
1,11,6.480313903776589,1383,0,"b",61,12905,0,1,1,0,32767,25697,65535
0,8,10.272211622066767,1384,0,"a",62,12774,0,1,1,0,32767,28579,65535
1,9,9.477567365587365,1385,0,"b",62,12905,0,1,1,0,32767,2541,65535
0,8,11.510185682868878,1386,0,"a",63,12774,0,1,1,0,32767,34842,65535
1,9,10.563753891138672,1387,0,"b",63,12905,0,1,1,0,32767,2198,65535
1,10,10.011280007678078,1388,0,"b",62,12905,0,1,1,0,32767,20029,65535
1,11,10.128505074062332,1389,0,"b",62,12905,0,1,1,0,32767,23870,65535
1,10,11.049155026321042,1390,0,"b",63,12905,0,1,1,0,32767,18941,65535
1,11,11.077672289382452,1391,0,"b",63,12905,0,1,1,0,32767,19924,65535
0,12,7.240746338632009,1392,0,"a",60,12774,0,1,1,0,32767,31990,65535
0,13,7.0373656441604835,1393,0,"a",60,12774,0,1,1,0,32767,29324,65535
0,12,7.626328927382041,1394,0,"a",61,12774,0,1,1,0,32767,55738,65535
0,13,6.698868440032362,1395,0,"a",61,12774,0,1,1,0,32767,31426,65535
0,14,7.275597457545403,1396,0,"a",60,12774,0,1,1,0,32767,32447,65535
1,15,8.019223543623548,1397,0,"b",60,12905,0,1,1,0,32767,42193,65535
0,14,6.985466060373831,1398,0,"a",61,12774,0,1,1,0,32767,38939,65535
1,15,6.924028156160247,1399,0,"b",61,12905,0,1,1,0,32767,37328,65535
0,12,10.664531141202488,1400,0,"a",62,12774,0,1,1,0,32767,41434,65535
0,13,9.643243594857733,1401,0,"a",62,12774,0,1,1,0,32767,7970,65535
0,12,12.219739310661213,1402,0,"a",63,12774,0,1,1,0,32767,59316,65535
0,13,11.291670273794681,1403,0,"a",63,12774,0,1,1,0,32767,27305,65535
0,14,10.05461711558193,1404,0,"a",62,12774,0,1,1,0,32767,21449,65535
1,15,10.948918151910954,1405,0,"b",62,12905,0,1,1,0,32767,50753,65535
0,14,11.310805671087323,1406,0,"a",63,12774,0,1,1,0,32767,27965,65535
1,15,11.553574960236256,1407,0,"b",63,12905,0,1,1,0,32767,36339,65535
1,16,9.060593978043407,1408,0,"b",48,12905,0,1,1,0,32767,29683,65535
1,17,9.032383670723183,1409,0,"b",48,12905,0,1,1,0,32767,28710,65535
1,16,4.396200857265988,1410,0,"b",49,12905,0,1,1,0,32767,21740,65535
1,17,4.313738697074015,1411,0,"b",49,12905,0,1,1,0,32767,19489,65535
0,18,9.521044809044458,1412,0,"a",48,12774,0,1,1,0,32767,45564,65535
0,19,9.35738601542836,1413,0,"a",48,12774,0,1,1,0,32767,39920,65535
0,18,5.974252230802349,1414,0,"a",49,12774,0,1,1,0,32767,64830,65535
0,19,4.594007640324163,1415,0,"a",49,12774,0,1,1,0,32767,27142,65535
1,16,5.023623604525899,1416,0,"b",50,12905,0,1,1,0,32767,29986,65535
1,17,4.993178734143986,1417,0,"b",50,12905,0,1,1,0,32767,28877,65535
1,16,5.087462841250339,1418,0,"b",51,12905,0,1,1,0,32767,22437,65535
1,17,5.125389100840475,1419,0,"b",51,12905,0,1,1,0,32767,23517,65535
0,18,5.940964529703048,1420,0,"a",50,12774,0,1,1,0,32767,63384,65535
0,19,4.946271813582484,1421,0,"a",50,12774,0,1,1,0,32767,27170,65535
0,18,6.511678074685924,1422,0,"a",51,12774,0,1,1,0,32767,63017,65535
0,19,5.293059484341012,1423,0,"a",51,12774,0,1,1,0,32767,28295,65535
0,20,9.469373040965934,1424,0,"a",48,12774,0,1,1,0,32767,43782,65535
1,21,9.436672262149166,1425,0,"b",48,12905,0,1,1,0,32767,42654,65535
0,20,4.291670273794682,1426,0,"a",49,12774,0,1,1,0,32767,18886,65535
1,21,4.085860736653838,1427,0,"b",49,12905,0,1,1,0,32767,13266,65535
1,22,9.587441419636908,1428,0,"b",48,12905,0,1,1,0,32767,47855,65535
1,23,10.049334860628724,1429,0,"b",48,12905,0,1,1,0,32767,63786,65535
1,22,4.299985542006685,1430,0,"b",49,12905,0,1,1,0,32767,19113,65535
